"generation","p_c","p_b","p_bh","p_f","p_mono","p_polyg","p_polya","RS_mono","RS_poly","run"
152,0,0,0,0.486666666666667,0.48,0.246753246753247,0.315068493150685,NA,2,"1"
153,0,0,0,0.4,0.413333333333333,0.177777777777778,0.416666666666667,NA,2,"1"
154,0,0,0,0.466666666666667,0.413333333333333,0.275,0.414285714285714,NA,2,"1"
155,0,0,0,0.486666666666667,0.386666666666667,0.285714285714286,0.356164383561644,NA,2,"1"
156,0,0,0,0.52,0.453333333333333,0.291666666666667,0.269230769230769,NA,2,"1"
157,0,0,0,0.493333333333333,0.426666666666667,0.302631578947368,0.337837837837838,NA,2,"1"
158,0,0,0,0.506666666666667,0.48,0.216216216216216,0.25,NA,2,"1"
159,0,0,0,0.513333333333333,0.453333333333333,0.273972602739726,0.25974025974026,NA,2,"1"
160,0,0,0,0.52,0.466666666666667,0.333333333333333,0.243589743589744,NA,2,"1"
161,0,0,0,0.426666666666667,0.466666666666667,0.209302325581395,0.328125,NA,2,"1"
162,0,0,0,0.473333333333333,0.466666666666667,0.265822784810127,0.309859154929577,NA,2,"1"
163,0,0,0,0.493333333333333,0.466666666666667,0.197368421052632,0.297297297297297,NA,2,"1"
164,0,0,0,0.566666666666667,0.493333333333333,0.353846153846154,0.141176470588235,NA,2,"1"
165,0,0,0,0.486666666666667,0.546666666666667,0.194805194805195,0.205479452054795,NA,2,"1"
166,0,0,0,0.553333333333333,0.386666666666667,0.432835820895522,0.204819277108434,NA,2,"1"
167,0,0,0,0.553333333333333,0.466666666666667,0.26865671641791,0.192771084337349,NA,2,"1"
168,0,0,0,0.506666666666667,0.52,0.22972972972973,0.289473684210526,NA,2,"1"
169,0,0,0,0.48,0.426666666666667,0.269230769230769,0.291666666666667,NA,2,"1"
170,0,0,0,0.526666666666667,0.466666666666667,0.323943661971831,0.227848101265823,NA,2,"1"
171,0,0,0,0.46,0.453333333333333,0.259259259259259,0.347826086956522,NA,2,"1"
172,0,0,0,0.52,0.493333333333333,0.208333333333333,0.192307692307692,NA,2,"1"
173,0,0,0,0.493333333333333,0.44,0.315789473684211,0.310810810810811,NA,2,"1"
174,0,0,0,0.446666666666667,0.386666666666667,0.27710843373494,0.373134328358209,NA,2,"1"
175,0,0,0,0.52,0.493333333333333,0.333333333333333,0.166666666666667,NA,2,"1"
176,0,0,0,0.526666666666667,0.426666666666667,0.338028169014085,0.227848101265823,NA,2,"1"
177,0,0,0,0.426666666666667,0.44,0.244186046511628,0.46875,NA,2,"1"
178,0,0,0,0.56,0.44,0.303030303030303,0.202380952380952,NA,2,"1"
179,0,0,0,0.48,0.52,0.192307692307692,0.291666666666667,NA,2,"1"
180,0,0,0,0.513333333333333,0.466666666666667,0.287671232876712,0.272727272727273,NA,2,"1"
181,0,0,0,0.506666666666667,0.44,0.256756756756757,0.236842105263158,NA,2,"1"
182,0,0,0,0.433333333333333,0.493333333333333,0.152941176470588,0.338461538461538,NA,2,"1"
183,0,0,0,0.453333333333333,0.4,0.231707317073171,0.382352941176471,NA,2,"1"
184,0,0,0,0.513333333333333,0.533333333333333,0.287671232876712,0.246753246753247,NA,2,"1"
185,0,0,0,0.493333333333333,0.4,0.25,0.283783783783784,NA,2,"1"
186,0,0,0,0.46,0.44,0.259259259259259,0.347826086956522,NA,2,"1"
187,0,0,0,0.6,0.493333333333333,0.466666666666667,0.144444444444444,NA,2,"1"
188,0,0,0,0.513333333333333,0.466666666666667,0.26027397260274,0.220779220779221,NA,2,"1"
189,0,0,0,0.513333333333333,0.466666666666667,0.287671232876712,0.272727272727273,NA,2,"1"
190,0,0,0,0.453333333333333,0.453333333333333,0.25609756097561,0.323529411764706,NA,2,"1"
191,0,0,0,0.466666666666667,0.466666666666667,0.2125,0.328571428571429,NA,2,"1"
192,0,0,0,0.533333333333333,0.453333333333333,0.371428571428571,0.2125,NA,2,"1"
193,0,0,0,0.513333333333333,0.44,0.287671232876712,0.25974025974026,NA,2,"1"
194,0,0,0,0.466666666666667,0.48,0.25,0.357142857142857,NA,2,"1"
195,0,0,0,0.54,0.506666666666667,0.289855072463768,0.185185185185185,NA,2,"1"
196,0,0,0,0.513333333333333,0.426666666666667,0.301369863013699,0.285714285714286,NA,2,"1"
197,0,0,0,0.553333333333333,0.453333333333333,0.358208955223881,0.204819277108434,NA,2,"1"
198,0,0,0,0.5,0.52,0.226666666666667,0.306666666666667,NA,2,"1"
199,0,0,0,0.486666666666667,0.48,0.246753246753247,0.246575342465753,NA,2,"1"
200,0,0,0,0.453333333333333,NA,NA,NA,NA,NA,"1"
